Fungi ,Salinity,Drought ,Value,,,,,,,,
Periconia macrospinosa,salinity1,Drought1,0.55288,,,,,,,,
Periconia macrospinosa,salinity2,Drought1,1.1412796,,,,,,,,
Periconia macrospinosa,salinity3,Drought1,1.5293,,,,,,,,
Neocamarosporium chichastianum,salinity1,Drought1,0.54868,,,,,,,,
Neocamarosporium chichastianum,salinity2,Drought1,0.8217,,,,,,,,
Neocamarosporium chichastianum,salinity3,Drought1,1.09868,,,,,,,,
Neocamarosporium goegapense,salinity1,Drought1,0.55084,,,,,,,,
Neocamarosporium goegapense,salinity2,Drought1,0.85536,,,,,,,,
Neocamarosporium goegapense,salinity3,Drought1,1.0372,,,,,,,,
Control,salinity1,Drought1,0.4007,,,,,,,,
Control,salinity2,Drought1,0.8948,,,,,,,,
Control,salinity3,Drought1,1.11675,,,,,,,,
Periconia macrospinosa,salinity1,Drought2,1.1264,,,,,,,,
Periconia macrospinosa,salinity2,Drought2,1.68864,,,,,,,,
Periconia macrospinosa,salinity3,Drought2,2.075948,,,,,,,,
Neocamarosporium chichastianum,salinity1,Drought2,0.78712,,,,,,,,
Neocamarosporium chichastianum,salinity2,Drought2,1.064,,,,,,,,
Neocamarosporium chichastianum,salinity3,Drought2,1.41608,,,,,,,,
Neocamarosporium goegapense,salinity1,Drought2,0.709,,,,,,,,
Neocamarosporium goegapense,salinity2,Drought2,1.059534,,,,,,,,
Neocamarosporium goegapense,salinity3,Drought2,1.4324,,,,,,,,
Control,salinity1,Drought2,0.952508,,,,,,,,
Control,salinity2,Drought2,1.3615,,,,,,,,
Control,salinity3,Drought2,1.7106,,,,,,,,
Periconia macrospinosa,salinity1,Drought3,1.5004,,,,,,,,
Periconia macrospinosa,salinity2,Drought3,1.98734,,,,,,,,
Periconia macrospinosa,salinity3,Drought3,2.3954,,,,,,,,
Neocamarosporium chichastianum,salinity1,Drought3,0.8948,,,,,,,,
Neocamarosporium chichastianum,salinity2,Drought3,1.1154,,,,,,,,
Neocamarosporium chichastianum,salinity3,Drought3,2.34948,,,,,,,,
Neocamarosporium goegapense,salinity1,Drought3,0.8548,,,,,,,,
Neocamarosporium goegapense,salinity2,Drought3,1.1942,,,,,,,,
Neocamarosporium goegapense,salinity3,Drought3,2.39534,,,,,,,,
Control,salinity1,Drought3,1.23088,,,,,,,,
Control,salinity2,Drought3,1.66742,,,,,,,,
Control,salinity3,Drought3,1.9281,,,,,,,,
Periconia macrospinosa,salinity1,Drought4,1.859522,,,,,,,,
Periconia macrospinosa,salinity2,Drought4,2.5542,,,,,,,,
Periconia macrospinosa,salinity3,Drought4,2.9188,,,,,,,,
Neocamarosporium chichastianum,salinity1,Drought4,1.7522,,,,,,,,
Neocamarosporium chichastianum,salinity2,Drought4,2.40924,,,,,,,,
Neocamarosporium chichastianum,salinity3,Drought4,2.8293,,,,,,,,
Neocamarosporium goegapense,salinity1,Drought4,1.715,,,,,,,,
Neocamarosporium goegapense,salinity2,Drought4,2.4506,,,,,,,,
Neocamarosporium goegapense,salinity3,Drought4,2.85288,,,,,,,,
Control,salinity1,Drought4,1.4614,,,,,,,,
Control,salinity2,Drought4,1.8884,,,,,,,,
Control,salinity3,Drought4,2.10075,,,,,,,,
