Fungi ,Drought ,Salinity,Value,,,,,,,
Neocamarosporium chichastianum,Drought1,salinity1,53.29333333,53.62,55.17,51.09,,,,
Neocamarosporium chichastianum,Drought1,salinity2,51.37666667,51.24,53.14,49.75,,,,
Neocamarosporium chichastianum,Drought1,salinity3,47.96333333,47.28,50.33,46.28,,,,
Neocamarosporium chichastianum,Drought2,salinity1,50.47,50.83,52.32,48.26,,,,
Neocamarosporium chichastianum,Drought2,salinity2,48.40333333,48.32,50.73,46.16,,,,
Neocamarosporium chichastianum,Drought2,salinity3,44.50333333,44.69,46.23,42.59,,,,
Neocamarosporium chichastianum,Drought3,salinity1,45.58333333,45.31,47.32,44.12,,,,
Neocamarosporium chichastianum,Drought3,salinity2,43.28333333,43.74,45.65,40.46,,,,
Neocamarosporium chichastianum,Drought3,salinity3,39.44,39.52,41.57,37.23,,,,
Neocamarosporium chichastianum,Drought4,salinity1,39.22333333,39.41,40.98,37.28,,,,
Neocamarosporium chichastianum,Drought4,salinity2,37.39666667,37.64,39.21,35.34,,,,
Neocamarosporium chichastianum,Drought4,salinity3,33.36333333,33.55,35.35,31.19,,,,
Neocamarosporium goegapense,Drought1,salinity1,52.87333333,52.93,55.3,50.39,,,,
Neocamarosporium goegapense,Drought1,salinity2,50.66666667,50.81,51.98,49.21,,,,
Neocamarosporium goegapense,Drought1,salinity3,46.67,46.85,48.13,45.03,,,,
Neocamarosporium goegapense,Drought2,salinity1,48.87333333,48.69,50.66,47.27,,,,
Neocamarosporium goegapense,Drought2,salinity2,45.97,46.01,47.31,44.59,,,,
Neocamarosporium goegapense,Drought2,salinity3,42.08333333,41.11,44.9,40.24,,,,
Neocamarosporium goegapense,Drought3,salinity1,45.29333333,45.61,45.96,44.31,,,,
Neocamarosporium goegapense,Drought3,salinity2,43.49333333,42.95,45.59,41.94,,,,
Neocamarosporium goegapense,Drought3,salinity3,39.39,39.15,41.23,37.79,,,,
Neocamarosporium goegapense,Drought4,salinity1,38.88,39.57,39.93,37.14,,,,
Neocamarosporium goegapense,Drought4,salinity2,36.30333333,36.2,38.34,34.37,,,,
Neocamarosporium goegapense,Drought4,salinity3,32.21,32.12,33.9,30.61,,,,
Periconia macrospinosa,Drought1,salinity1,49.58333333,49.91,51.63,47.21,,,,
Periconia macrospinosa,Drought1,salinity2,46.14333333,45.94,47.92,44.57,,,,
Periconia macrospinosa,Drought1,salinity3,41.44333333,41.14,43.21,39.98,,,,
Periconia macrospinosa,Drought2,salinity1,45.93666667,45.85,46.11,45.85,,,,
Periconia macrospinosa,Drought2,salinity2,42.13,42.19,44.23,39.97,,,,
Periconia macrospinosa,Drought2,salinity3,37.03333333,37.01,38.9,35.19,,,,
Periconia macrospinosa,Drought3,salinity1,41.11,40.12,45.1,38.11,,,,
Periconia macrospinosa,Drought3,salinity2,36.09,35.93,38.25,34.09,,,,
Periconia macrospinosa,Drought3,salinity3,29.69666667,29.34,31.67,28.08,,,,
Periconia macrospinosa,Drought4,salinity1,34.98333333,35.09,35.95,33.91,,,,
Periconia macrospinosa,Drought4,salinity2,31.4,31.69,32.97,29.54,,,,
Periconia macrospinosa,Drought4,salinity3,26.46,26.12,28.24,25.02,,,,
Control,Drought1,salinity1,45.45,45.16,47.31,43.88,,,,
Control,Drought1,salinity2,38.96333333,39.02,40.68,37.19,,,,
Control,Drought1,salinity3,33.28,33.16,35.15,31.53,,,,
Control,Drought2,salinity1,38.09,38.29,39.65,36.33,,,,
Control,Drought2,salinity2,32.39333333,32.32,33.89,30.97,,,,
Control,Drought2,salinity3,26.04333333,26.12,26.91,25.1,,,,
Control,Drought3,salinity1,29.95333333,30.04,31.39,28.43,,,,
Control,Drought3,salinity2,23.31666667,23.08,24.95,21.92,,,,
Control,Drought3,salinity3,17.72333333,17.86,19.28,16.03,,,,
Control,Drought4,salinity1,21.82,21.91,24.56,18.99,,,,
Control,Drought4,salinity2,16.00666667,15.15,17.64,15.23,,,,
Control,Drought4,salinity3,12.19666667,12.54,13.04,11.01,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
