Fungi ,Drought ,Salinity,Value,,,
Neocamarosporium chichastianum,Drought1,salinity1,17.42333333,18.46,16.31,17.5
Neocamarosporium chichastianum,Drought1,salinity2,16.54666667,16.94,15.8,16.9
Neocamarosporium chichastianum,Drought1,salinity3,15.53333333,16.5,14.16,15.94
Neocamarosporium chichastianum,Drought2,salinity1,16.66,17.69,15.79,16.5
Neocamarosporium chichastianum,Drought2,salinity2,15.83666667,16.92,15.07,15.52
Neocamarosporium chichastianum,Drought2,salinity3,14.88333333,15.87,14,14.78
Neocamarosporium chichastianum,Drought3,salinity1,15.79,16.73,15.25,15.39
Neocamarosporium chichastianum,Drought3,salinity2,15.02666667,15.73,14.3,15.05
Neocamarosporium chichastianum,Drought3,salinity3,13.97333333,14.88,13.02,14.02
Neocamarosporium chichastianum,Drought4,salinity1,14.04666667,15.15,13.8,13.19
Neocamarosporium chichastianum,Drought4,salinity2,13.2,13.4,13,13.2
Neocamarosporium chichastianum,Drought4,salinity3,12.27,12.8,11.8,12.21
Neocamarosporium goegapense,Drought1,salinity1,17.24666667,18.2,17.29,16.25
Neocamarosporium goegapense,Drought1,salinity2,16.45666667,17.1,15.53,16.74
Neocamarosporium goegapense,Drought1,salinity3,15.42333333,15.9,15.13,15.24
Neocamarosporium goegapense,Drought2,salinity1,16.4,16.33,15.93,16.94
Neocamarosporium goegapense,Drought2,salinity2,15.58666667,16.59,15.07,15.1
Neocamarosporium goegapense,Drought2,salinity3,14.59,14.83,14.01,14.93
Neocamarosporium goegapense,Drought3,salinity1,15.65333333,16.2,14.28,16.48
Neocamarosporium goegapense,Drought3,salinity2,14.82,15.52,13.31,15.63
Neocamarosporium goegapense,Drought3,salinity3,13.8,14.26,13.68,13.46
Neocamarosporium goegapense,Drought4,salinity1,13.87,13.54,14.42,13.65
Neocamarosporium goegapense,Drought4,salinity2,12.94666667,13.9,11.25,13.69
Neocamarosporium goegapense,Drought4,salinity3,11.87333333,12.06,11.35,12.21
Periconia macrospinosa,Drought1,salinity1,17.25,18.2,17.1,16.45
Periconia macrospinosa,Drought1,salinity2,16.27666667,17.25,15.95,15.63
Periconia macrospinosa,Drought1,salinity3,15.21,15.51,15.02,15.1
Periconia macrospinosa,Drought2,salinity1,16.23666667,16.3,15.51,16.9
Periconia macrospinosa,Drought2,salinity2,15.27666667,15.52,14.9,15.41
Periconia macrospinosa,Drought2,salinity3,14.24666667,15.2,13.51,14.03
Periconia macrospinosa,Drought3,salinity1,15.21666667,15.95,14.1,15.6
Periconia macrospinosa,Drought3,salinity2,14.14,14.79,13.72,13.91
Periconia macrospinosa,Drought3,salinity3,13.11333333,13.84,13.24,12.26
Periconia macrospinosa,Drought4,salinity1,12.70666667,13.36,11.81,12.95
Periconia macrospinosa,Drought4,salinity2,11.68666667,11.93,11.41,11.72
Periconia macrospinosa,Drought4,salinity3,10.65,10.99,10.25,10.71
Control,Drought1,salinity1,17.30666667,17.88,16.48,17.56
Control,Drought1,salinity2,15.06333333,15.88,14.29,15.02
Control,Drought1,salinity3,13.4,13.94,12.52,13.74
Control,Drought2,salinity1,15.3,15.75,14.22,15.93
Control,Drought2,salinity2,13,13.65,11.74,13.61
Control,Drought2,salinity3,11.49666667,11.95,10.7,11.84
Control,Drought3,salinity1,12.95666667,13.07,12.56,13.24
Control,Drought3,salinity2,10.59,11.9,9.66,10.21
Control,Drought3,salinity3,8.41,8.85,7.91,8.47
Control,Drought4,salinity1,9.7,9.97,9.29,9.84
Control,Drought4,salinity2,7.603333333,7.8,7.42,7.59
Control,Drought4,salinity3,6.223333333,6.9,5.9,5.87
